Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
regress,Chrome 66.0.3359.181,,2018-05-21 17:37:52,2018-05-21 17:38:03,"10,920s",PASSED
,,,,,,
Test Cases/Login with invalid data,Chrome 66.0.3359.181,,2018-05-21 17:37:53,2018-05-21 17:38:03,"10,120s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-21 17:37:53,2018-05-21 17:37:59,"6,164s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 17:37:59,2018-05-21 17:38:01,"1,739s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 17:38:01,2018-05-21 17:38:01,"0,084s",PASSED
sendKeys,Chrome 66.0.3359.181,,2018-05-21 17:38:01,2018-05-21 17:38:01,"0,101s",PASSED
sendKeys,Chrome 66.0.3359.181,,2018-05-21 17:38:01,2018-05-21 17:38:01,"0,074s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 17:38:01,2018-05-21 17:38:02,"0,095s",PASSED
check,Chrome 66.0.3359.181,,2018-05-21 17:38:02,2018-05-21 17:38:02,"0,678s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-21 17:38:02,2018-05-21 17:38:03,"0,580s",PASSED
